stationId,stationName,observationTime,NFDRType,fuelModelType,oneHR_TL_FuelMoisture,tenHR_TL_FuelMoisture,hundredHR_TL_FuelMoisture,thousandHR_TL_FuelMoisture,kbdi,gsi,woodyLFI_fuelMoisture,herbaceousLFI_fuelMoisture,ignitionComponent,energyReleaseComponent,spreadComponent,burningIndex
21008,BLACK HILLS,2025-06-05,O,X,3.37,3.52,8.65,10.93,333,0.50,61.01,31.59,69.56,106.25,120.90,231.92
21008,BLACK HILLS,2025-06-05,O,Y,3.37,3.52,8.65,10.93,333,0.50,61.01,31.59,69.56,60.63,5.12,42.17
21008,BLACK HILLS,2025-06-05,O,Z,3.37,3.52,8.65,10.93,333,0.50,61.01,31.59,69.56,133.56,22.10,118.50
21503,AHAKHAV PRESERVE,2025-06-05,O,V,3.95,3.98,10.68,13.48,239,0.05,60.00,30.00,50.51,8.61,58.41,52.05
21503,AHAKHAV PRESERVE,2025-06-05,O,W,3.95,3.98,10.68,13.48,239,0.05,60.00,30.00,41.53,12.00,22.67,38.94
21503,AHAKHAV PRESERVE,2025-06-05,O,X,3.95,3.98,10.68,13.48,239,0.05,60.00,30.00,54.70,95.76,65.97,167.00
21503,AHAKHAV PRESERVE,2025-06-05,O,Y,3.95,3.98,10.68,13.48,239,0.05,60.00,30.00,54.87,45.31,3.19,28.76
21503,AHAKHAV PRESERVE,2025-06-05,O,Z,3.95,3.98,10.68,13.48,239,0.05,60.00,30.00,52.89,102.60,11.27,75.04
21504,BELMONT,2025-06-05,O,V,2.56,2.85,7.71,10.29,733,0.00,60.00,30.00,75.18,10.59,103.15,71.18
21504,BELMONT,2025-06-05,O,W,2.56,2.85,7.71,10.29,733,0.00,60.00,30.00,58.46,13.82,35.92,49.51
21504,BELMONT,2025-06-05,O,X,2.56,2.85,7.71,10.29,733,0.00,60.00,30.00,75.98,103.45,102.38,207.70
21504,BELMONT,2025-06-05,O,Y,2.56,2.85,7.71,10.29,733,0.00,60.00,30.00,77.62,59.71,4.50,38.38
21504,BELMONT,2025-06-05,O,Z,2.56,2.85,7.71,10.29,733,0.00,60.00,30.00,76.66,125.54,18.02,101.31
31404,BLANCHARD SPRINGS,2025-06-05,O,V,12.08,12.52,18.63,19.25,132,1.00,200.00,250.00,0.34,0.01,0.06,0.10
31404,BLANCHARD SPRINGS,2025-06-05,O,W,12.08,12.52,18.63,19.25,132,1.00,200.00,250.00,1.09,0.45,0.36,1.30
31404,BLANCHARD SPRINGS,2025-06-05,O,X,12.08,12.52,18.63,19.25,132,1.00,200.00,250.00,2.41,17.12,2.96,18.30
31404,BLANCHARD SPRINGS,2025-06-05,O,Y,12.08,12.52,18.63,19.26,138,1.00,200.00,250.00,7.40,19.11,1.32,13.11
31404,BLANCHARD SPRINGS,2025-06-05,O,Z,12.08,12.52,18.63,19.26,138,1.00,200.00,250.00,6.07,42.63,3.43,29.63
32101,ARMSTEAD MOUNTAIN,2025-06-05,O,V,12.68,11.93,19.04,20.11,105,1.00,200.00,250.00,0.39,0.01,0.09,0.12
32101,ARMSTEAD MOUNTAIN,2025-06-05,O,W,12.68,11.93,19.04,20.11,105,1.00,200.00,250.00,1.18,0.47,0.48,1.48
32101,ARMSTEAD MOUNTAIN,2025-06-05,O,X,12.68,11.93,19.04,20.11,105,1.00,200.00,250.00,2.69,17.18,4.53,21.20
32101,ARMSTEAD MOUNTAIN,2025-06-05,O,Y,12.68,11.93,19.04,20.11,105,1.00,200.00,250.00,8.29,16.92,1.91,14.49
32101,ARMSTEAD MOUNTAIN,2025-06-05,O,Z,12.68,11.93,19.04,20.11,105,1.00,200.00,250.00,6.63,40.81,5.04,32.58
33001,BOONEVILLE,2025-06-05,O,V,9.57,8.86,14.91,18.54,178,1.00,200.00,250.00,0.80,0.03,0.11,0.19
33001,BOONEVILLE,2025-06-05,O,W,9.57,8.86,14.91,18.54,178,1.00,200.00,250.00,2.96,1.25,0.95,2.93
33001,BOONEVILLE,2025-06-05,O,X,9.57,8.86,14.91,18.54,178,1.00,200.00,250.00,5.49,24.25,5.45,27.38
33001,BOONEVILLE,2025-06-05,O,Y,9.57,8.86,14.91,18.54,178,1.00,200.00,250.00,14.82,25.57,1.91,16.94
33001,BOONEVILLE,2025-06-05,O,Z,9.57,8.86,14.91,18.54,178,1.00,200.00,250.00,13.86,61.46,6.35,44.24
36502,BLUFF CITY,2025-06-05,O,V,10.04,9.39,14.88,17.59,187,0.95,189.01,232.73,1.33,0.07,0.33,0.54
36502,BLUFF CITY,2025-06-05,O,W,10.04,9.39,14.88,17.59,187,0.95,189.01,232.73,2.98,1.22,0.94,3.13
36502,BLUFF CITY,2025-06-05,O,X,10.04,9.39,14.88,17.59,187,0.95,189.01,232.73,5.32,23.88,5.03,27.04
36502,BLUFF CITY,2025-06-05,O,Y,10.04,9.39,14.88,17.59,187,0.95,189.01,232.73,14.29,27.18,1.75,17.40
36502,BLUFF CITY,2025-06-05,O,Z,10.04,9.39,14.88,17.59,187,0.95,189.01,232.73,12.91,61.31,5.42,42.76
40203,BLUE RIDGE (KNF),2025-06-05,O,V,4.60,6.04,9.56,10.94,152,0.90,170.93,204.31,9.25,0.61,3.05,3.85
40203,BLUE RIDGE (KNF),2025-06-05,O,W,4.60,6.04,9.56,10.94,152,0.90,170.93,204.31,13.64,3.38,4.56,10.14
40203,BLUE RIDGE (KNF),2025-06-05,O,X,4.60,6.04,9.56,10.94,152,0.90,170.93,204.31,25.89,41.62,21.15,67.87
40203,BLUE RIDGE (KNF),2025-06-05,O,Y,4.60,6.04,9.56,10.94,152,0.90,170.93,204.31,57.40,53.05,8.01,48.64
40203,BLUE RIDGE (KNF),2025-06-05,O,Z,4.60,6.04,9.56,10.94,152,0.90,170.93,204.31,56.13,106.05,20.80,102.86
40242,BRAZIE RANCH,2025-06-05,O,V,4.16,5.12,9.07,10.32,173,0.26,60.00,30.00,45.71,8.32,57.56,51.17
40242,BRAZIE RANCH,2025-06-05,O,W,4.16,5.12,9.07,10.32,173,0.26,60.00,30.00,37.65,11.15,22.42,37.84
40242,BRAZIE RANCH,2025-06-05,O,X,4.16,5.12,9.07,10.32,173,0.26,60.00,30.00,49.64,92.18,65.38,164.37
40242,BRAZIE RANCH,2025-06-05,O,Y,4.16,5.12,9.07,10.32,173,0.26,60.00,30.00,49.63,55.18,3.14,32.06
40242,BRAZIE RANCH,2025-06-05,O,Z,4.16,5.12,9.07,10.32,173,0.26,60.00,30.00,47.80,109.71,11.08,78.19
40244,ASH CREEK,2025-06-05,O,V,5.14,6.16,10.54,12.14,444,0.23,60.00,30.00,31.11,7.12,34.79,37.97
40244,ASH CREEK,2025-06-05,O,W,5.14,6.16,10.54,12.14,444,0.23,60.00,30.00,26.94,9.35,14.97,28.67
40244,ASH CREEK,2025-06-05,O,X,5.14,6.16,10.54,12.14,444,0.23,60.00,30.00,35.90,84.39,44.61,131.66
40244,ASH CREEK,2025-06-05,O,Y,5.14,6.16,10.54,12.14,444,0.23,60.00,30.00,37.75,47.16,2.37,26.10
40244,ASH CREEK,2025-06-05,O,Z,5.14,6.16,10.54,12.14,444,0.23,60.00,30.00,34.11,95.39,7.36,60.14
40247,BOLAM,2025-06-05,O,V,5.32,5.70,10.51,11.10,253,0.00,60.00,30.00,36.00,6.92,59.78,45.35
40247,BOLAM,2025-06-05,O,W,5.32,5.70,10.51,11.10,253,0.00,60.00,30.00,30.22,9.93,23.89,35.37
40247,BOLAM,2025-06-05,O,X,5.32,5.70,10.51,11.10,253,0.00,60.00,30.00,39.90,86.72,69.53,160.73
40247,BOLAM,2025-06-05,O,Y,5.32,5.70,10.51,11.10,253,0.00,60.00,30.00,38.89,50.66,2.91,29.56
40247,BOLAM,2025-06-05,O,Z,5.32,5.70,10.51,11.10,253,0.00,60.00,30.00,37.46,101.10,10.76,72.99
40302,BLUE MOUNTAIN,2025-06-05,O,V,6.58,6.52,9.57,11.29,89,0.61,122.87,128.80,16.79,3.38,39.47,23.56
40302,BLUE MOUNTAIN,2025-06-05,O,W,6.58,6.52,9.57,11.29,89,0.61,122.87,128.80,15.28,5.00,9.76,17.28
40302,BLUE MOUNTAIN,2025-06-05,O,X,6.58,6.52,9.57,11.29,89,0.61,122.87,128.80,21.70,58.35,55.69,113.22
40302,BLUE MOUNTAIN,2025-06-05,O,Y,6.58,6.52,9.57,11.29,89,0.61,122.87,128.80,27.53,49.30,3.13,30.00
40302,BLUE MOUNTAIN,2025-06-05,O,Z,6.58,6.52,9.57,11.29,89,0.61,122.87,128.80,25.74,96.03,12.90,76.68
40313,BEAR FLAT,2025-06-05,O,V,5.47,6.55,10.77,12.25,99,0.46,92.52,81.10,27.18,4.87,37.33,32.16
40313,BEAR FLAT,2025-06-05,O,W,5.47,6.55,10.77,12.25,99,0.46,92.52,81.10,22.36,7.66,14.50,24.76
40313,BEAR FLAT,2025-06-05,O,X,5.47,6.55,10.77,12.25,99,0.46,92.52,81.10,30.06,72.28,43.97,119.63
40313,BEAR FLAT,2025-06-05,O,Y,5.47,6.55,10.77,12.25,99,0.46,92.52,81.10,34.76,46.67,2.70,27.35
40313,BEAR FLAT,2025-06-05,O,Z,5.47,6.55,10.77,12.25,99,0.46,92.52,81.10,32.71,95.02,9.51,66.62
40402,BIG HILL,2025-06-05,O,V,6.65,6.04,8.75,11.12,432,0.87,163.96,193.36,6.04,0.66,2.55,3.73
40402,BIG HILL,2025-06-05,O,W,6.65,6.04,8.75,11.12,432,0.87,163.96,193.36,9.21,4.47,3.41,10.54
40402,BIG HILL,2025-06-05,O,X,6.65,6.04,8.75,11.12,432,0.87,163.96,193.36,18.10,49.61,22.11,74.96
